Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness (CheckM1)	Contamination (CheckM1)	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	Completeness (CheckM2)	Contamination (CheckM2)	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Circular contigs	Circular bp	Circular fraction	mid_B011_final.fastq Relative Abundance (%)	mid_B011_final.fastq Covered Fraction	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
1329_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	242761	0	5	5	124729	124729	48552	48552	124729	124729	41.0	1.61	85.9	11	254	56	0	0	0	0	0	5.52	0.01	Neural Network (Specific Model)	11	0.859	124729	274.5393700787401	242761	0.41	254	5	124729		0	0	0.0	2.5247724	0.9979898	Unclassified Bacteria																		Insufficient number of amino acids in MSA (3.3%)
1594_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	80614	0	9	9	9772	9772	8957	8957	13917	13917	37.2	1.05	84.24	11	120	56	0	0	0	0	0	3.29	0.01	Neural Network (Specific Model)	11	0.842	9772	190.19166666666663	80614	0.37	120	9	13917		0	0	0.0	0.4650202	0.9999876	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.7%)
1633_sub	k__Bacteria (UID203)	5449	102	56	7.14	0.0	0.0	861897	0	36	36	39749	39749	23941	23941	101592	101592	47.8	3.69	83.89	11	1003	94	8	0	0	0	0	19.91	1.56	Neural Network (Specific Model)	11	0.839	39749	241.52043868394816	861897	0.48	1003	36	101592		1	4328	0.005021481685166557	2.263794	0.99998957	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__											d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		10.53	11.0	0.9729	Genome domain questionable ( 10.8% Bacterial, 3.8% Archaeal);backbone tree has incongruent class classification
1842_sub	k__Bacteria (UID203)	5449	104	58	3.45	0.0	0.0	53144	0	3	3	20193	20193	17714	17714	24458	24458	59.6	0.38	76.85	11	67	101	3	0	0	0	0	3.9	0.05	Neural Network (Specific Model)	11	0.768	20193	204.65671641791045	53144	0.6	67	3	24458		0	0	0.0	0.34120575	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (2.5%)
1868_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	60973	0	6	6	11108	11108	10162	10162	12900	12900	37.0	0.29	84.36	11	94	56	0	0	0	0	0	3.84	0.15	Neural Network (Specific Model)	11	0.844	11108	183.3404255319149	60973	0.37	94	6	12900		0	0	0.0	0.46185213	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (4.1%)
1901	o__Clostridiales (UID1212)	172	263	149	99.33	1.01	0.0	2166457	0	4	4	1648931	1648931	541614	541614	1648931	1648931	40.7	0.71	87.33	11	1981	1	260	2	0	0	0	99.99	1.25	Neural Network (Specific Model)	11	0.873	1648931	318.7935386168602	2166457	0.41	1981	4	1648931		0	0	0.0	3.6724932	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	GCF_002834235.1	95.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	98.17	0.842	GCF_002834235.1	95.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	98.17	0.842	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 95.26, 0.792; GCA_905215855.1, s__Ruminococcus_E sp905215855, 95.0, 94.4, 0.765; GCA_902771755.1, s__Ruminococcus_E sp902771755, 95.0, 91.6, 0.688; GCA_902766775.1, s__Ruminococcus_E sp902766775, 95.0, 90.48, 0.666	96.01	11.0		
1958_sub	k__Bacteria (UID203)	5449	103	57	13.32	0.0	0.0	117430	0	9	9	14740	14740	13047	13047	26555	26555	27.6	0.96	84.33	11	174	94	9	0	0	0	0	9.68	0.01	Neural Network (Specific Model)	11	0.843	14740	190.6034482758621	117430	0.28	174	9	26555		0	0	0.0	0.3743875	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (7.3%)
413	p__Euryarchaeota (UID3)	148	188	125	95.73	0.13	0.0	1689847	0	33	33	67521	67521	51207	51207	155520	155520	31.1	1.2	89.29	11	1814	8	179	1	0	0	0	91.28	0.57	Neural Network (Specific Model)	11	0.893	67521	278.0303197353914	1689847	0.31	1814	33	155520		0	0	0.0	0.91893286	0.9999846	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.16	0.919	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.16	0.919	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023617305.1, s__Methanobrevibacter_A smithii_A, 95.0, 93.65, 0.899; GCF_934746965.1, s__Methanobrevibacter_A sp934746965, 95.0, 87.2, 0.601	92.49	11.0		
bin.0_sub	k__Bacteria (UID203)	5449	104	58	36.36	0.0	0.0	1126759	0	147	147	9148	9148	7665	7665	29231	29231	59.6	2.14	81.22	11	1564	79	25	0	0	0	0	36.46	0.74	Neural Network (Specific Model)	11	0.812	9148	196.31074168797957	1126759	0.6	1564	147	29231		0	0	0.0	0.4445539	0.99990237	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	GCA_000432135.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	96.93	0.814	GCA_000432135.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	96.93	0.814	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900751035.1, s__CAG-170 sp900751035, 95.0, 90.97, 0.545; GCA_934668295.1, s__CAG-170 sp934668295, 95.0, 90.54, 0.528; GCA_934646185.1, s__CAG-170 sp934646185, 95.0, 89.89, 0.599; GCA_900545925.1, s__CAG-170 sp900545925, 95.0, 89.89, 0.593; GCA_902796245.1, s__CAG-170 sp902796245, 95.0, 89.56, 0.503; GCA_002404795.1, s__CAG-170 sp002404795, 95.0, 85.58, 0.338; GCA_934655875.1, s__CAG-170 sp934655875, 95.0, 85.14, 0.307; GCA_934670025.1, s__CAG-170 sp934670025, 95.0, 84.11, 0.203; GCA_934613505.1, s__CAG-170 sp934613505, 95.0, 83.32, 0.175	17.52	11.0		
bin.103_sub	k__Bacteria (UID203)	5449	103	57	8.95	0.0	0.0	462804	0	82	82	7250	7250	5643	5643	19062	19062	45.3	1.77	82.32	11	722	95	8	0	0	0	0	10.73	0.11	Neural Network (Specific Model)	11	0.823	7250	177.70914127423822	462804	0.45	722	82	19062		0	0	0.0	0.3640427	0.99999136	Unclassified Bacteria																		Insufficient number of amino acids in MSA (9.0%)
