Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness (CheckM1)	Contamination (CheckM1)	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	Completeness (CheckM2)	Contamination (CheckM2)	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Circular contigs	Circular bp	Circular fraction	B018_conc_final.fastq Relative Abundance (%)	B018_conc_final.fastq Covered Fraction	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.0_sub	o__Bacteroidales (UID2654)	163	486	266	75.33	1.74	50.0	3682046	0	211	211	22814	22814	17450	17450	90696	90696	42.2	2.12	88.41	11	3833	140	340	6	0	0	0	77.59	4.67	Neural Network (Specific Model)	11	0.884	22814	284.4343855987477	3682046	0.42	3833	211	90696		0	0	0.0	1.4199458	0.99998236	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	GCF_000012825.1	95.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	98.72	0.822	GCF_000012825.1	95.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	98.72	0.822	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 98.67, 0.334; GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 98.45, 0.31; GCA_959599425.1, s__Phocaeicola sp959599425, 95.0, 98.2, 0.428; GCA_947574505.1, s__Phocaeicola sp947574505, 95.0, 97.61, 0.318; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 97.49, 0.282; GCA_958434805.1, s__Phocaeicola sp958434805, 95.0, 96.92, 0.281; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 96.34, 0.352; GCF_013009555.1, s__Phocaeicola dorei, 95.0, 95.14, 0.776; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 94.16, 0.427; GCA_948956705.1, s__Phocaeicola sp948956705, 95.0, 93.06, 0.338; GCF_024622025.1, s__Phocaeicola sartorii, 95.0, 89.86, 0.576; GCA_947072895.1, s__Phocaeicola sp011959205, 95.0, 88.99, 0.434; GCA_902388365.1, s__Phocaeicola sp902388365, 95.0, 80.89, 0.161	50.8	11.0		
bin.10_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	208230	0	29	29	9891	9891	7180	7180	21819	21819	55.5	3.87	80.97	11	305	56	0	0	0	0	0	6.8	0.0	Neural Network (Specific Model)	11	0.81	9891	185.64262295081969	208230	0.55	305	29	21819		0	0	0.0	0.7536339	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.5%)
bin.13	o__Clostridiales (UID1212)	172	263	149	25.55	0.0	0.0	644969	0	78	78	10642	10642	8268	8268	22138	22138	53.4	2.81	84.47	11	872	184	79	0	0	0	0	20.52	0.53	Neural Network (Specific Model)	11	0.845	10642	209.62614678899084	644969	0.53	872	78	22138		0	0	0.0	0.7323743	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	GCF_020687165.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	98.59	0.966	GCF_020687165.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	98.59	0.966	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934643185.1, s__Hominenteromicrobium sp934643185, 95.0, 93.96, 0.742	23.75	11.0		
bin.14	o__Clostridiales (UID1212)	172	261	147	44.76	6.01	41.67	1463564	0	174	174	10825	10825	8411	8411	41313	41313	58.8	2.35	81.88	11	1915	126	123	12	0	0	0	41.92	4.76	Neural Network (Specific Model)	11	0.819	10825	210.16971279373368	1463564	0.59	1915	174	41313		0	0	0.0	1.2512618	0.9994083	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__						GCF_003324185.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	94.79	0.78	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 93.72, 0.702; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 93.7, 0.74; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 93.28, 0.74; GCA_934525405.1, s__Faecalibacterium sp934525405, 95.0, 93.17, 0.572; GCA_905215595.1, s__Faecalibacterium sp905215595, 95.0, 93.09, 0.561; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 92.92, 0.647; GCA_934561115.1, s__Faecalibacterium sp934561115, 95.0, 92.78, 0.561; GCA_934540955.1, s__Faecalibacterium sp934540955, 95.0, 92.59, 0.589; GCA_934524985.1, s__Faecalibacterium sp934524985, 95.0, 92.57, 0.666; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 92.56, 0.664; GCA_934532365.1, s__Faecalibacterium sp934532365, 95.0, 92.5, 0.614; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 92.35, 0.65; GCA_934525325.1, s__Faecalibacterium sp934525325, 95.0, 92.27, 0.509; GCA_934512105.1, s__Faecalibacterium sp934512105, 95.0, 92.23, 0.585; GCA_934539245.1, s__Faecalibacterium sp934539245, 95.0, 91.69, 0.602; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 91.0, 0.526; GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 88.81, 0.383; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 88.29, 0.425; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 88.15, 0.405; GCA_934553285.1, s__Faecalibacterium sp934553285, 95.0, 88.0, 0.455; GCA_902463235.1, s__Faecalibacterium sp902463235, 95.0, 87.87, 0.286; GCF_023347255.1, s__Faecalibacterium prausnitzii_D, 95.0, 87.6, 0.425; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 87.5, 0.41; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 87.24, 0.403; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 87.24, 0.342; GCA_934511465.1, s__Faecalibacterium sp934511465, 95.0, 86.73, 0.327; GCA_934525845.1, s__Faecalibacterium sp934525845, 95.0, 86.22, 0.359; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 85.75, 0.291; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 85.69, 0.295; GCF_020687245.1, s__Faecalibacterium longum, 95.0, 85.6, 0.275; GCF_023347275.1, s__Faecalibacterium sp900758465, 95.0, 85.56, 0.27; GCA_902463905.1, s__Faecalibacterium sp902463905, 95.0, 85.51, 0.289; GCA_934561485.1, s__Faecalibacterium sp934561485, 95.0, 85.49, 0.284; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 85.41, 0.259; GCA_934501115.1, s__Faecalibacterium sp934501115, 95.0, 85.36, 0.296; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 85.28, 0.312; GCA_934525735.1, s__Faecalibacterium sp934525735, 95.0, 85.22, 0.279; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 84.66, 0.232; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 84.62, 0.225; GCA_934547065.1, s__Faecalibacterium sp934547065, 95.0, 84.61, 0.189; GCA_937915335.1, s__Faecalibacterium sp937915335, 95.0, 84.4, 0.185; GCA_934518555.1, s__Faecalibacterium sp934518555, 95.0, 83.94, 0.229; GCA_934533135.1, s__Faecalibacterium sp934533135, 95.0, 83.58, 0.186; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 83.45, 0.161; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 82.82, 0.192	29.71	11.0	0.99976	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.15	k__Bacteria (UID2372)	131	177	106	53.9	0.0	0.0	1989706	0	200	200	12235	12235	9948	9948	40604	40604	29.1	1.83	86.81	11	2580	71	106	0	0	0	0	60.93	1.03	Gradient Boost (General Model)	11	0.868	12235	224.3062015503876	1989706	0.29	2580	200	40604		1	4644	0.002334013165764188	0.9248866	0.99999696	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	GCF_003024685.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	96.1	0.708	GCF_003024685.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	96.1	0.708	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958421935.1, s__Faecalibacillus sp900544435, 95.0, 92.85, 0.586; GCF_003024675.1, s__Faecalibacillus faecis, 95.0, 90.11, 0.517; GCA_030540195.1, s__Faecalibacillus sp030540195, 95.0, 89.56, 0.453	48.22	11.0		
bin.19	k__Bacteria (UID2372)	131	177	106	68.8	1.95	42.86	1443846	0	139	139	13182	13182	10387	10387	55073	55073	33.4	1.49	89.96	11	1705	65	105	7	0	0	0	63.99	0.64	Gradient Boost (General Model)	11	0.9	13182	255.0551319648094	1443846	0.33	1705	139	55073		0	0	0.0	1.0423406	1.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis	GCF_000156655.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis	96.54	0.783	GCF_000156655.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis	96.54	0.783	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_938036765.1, s__Holdemanella sp900547815, 95.0, 92.32, 0.723; GCF_934754935.1, s__Holdemanella sp934754935, 95.0, 91.75, 0.727; GCF_024460475.1, s__Holdemanella sp900556915, 95.0, 90.67, 0.664; GCA_003436425.1, s__Holdemanella sp003436425, 95.0, 90.59, 0.661; GCF_014306155.1, s__Holdemanella hominis, 95.0, 90.33, 0.633; GCF_009696075.1, s__Holdemanella porci, 95.95, 90.22, 0.619; GCF_934772795.1, s__Holdemanella sp934772795, 95.0, 90.0, 0.641; GCF_003458715.1, s__Holdemanella sp003458715, 95.0, 89.09, 0.614; GCF_900754615.1, s__Holdemanella sp900754615, 95.0, 88.77, 0.563	54.96	11.0		
bin.21	p__Actinobacteria (UID2112)	31	211	124	34.6	0.0	0.0	911073	0	73	73	16549	16549	12480	12480	45781	45781	60.2	2.66	82.73	11	1038	127	84	0	0	0	0	30.25	0.12	Neural Network (Specific Model)	11	0.827	16549	243.3294797687861	911073	0.6	1038	73	45781		1	7507	0.008239734905984482	0.72119147	1.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__						GCA_958429025.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp958429025	94.57	0.825	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018376265.1, s__Collinsella sp018376265, 95.0, 94.77, 0.838; GCA_018382125.1, s__Collinsella sp018382125, 95.0, 94.67, 0.849; GCF_028206995.1, s__Collinsella aerofaciens_AQ, 95.0, 94.67, 0.845; GCA_902491565.1, s__Collinsella sp902491565, 95.0, 94.67, 0.828; GCA_900545745.1, s__Collinsella sp900545745, 95.0, 94.57, 0.737; GCF_001405375.1, s__Collinsella aerofaciens_F, 95.0, 94.56, 0.837; GCA_902464575.1, s__Collinsella sp902464575, 95.0, 94.56, 0.822; GCA_014871655.1, s__Collinsella sp014871655, 95.0, 94.56, 0.798; GCA_900543515.1, s__Collinsella sp900543515, 95.0, 94.47, 0.777; GCA_937923795.1, s__Collinsella sp937923795, 95.0, 94.45, 0.846; GCA_958403385.1, s__Collinsella sp958403385, 95.0, 94.45, 0.825; GCA_902470365.1, s__Collinsella sp902470365, 95.0, 94.45, 0.823; GCA_900540895.1, s__Collinsella sp900540895, 95.0, 94.45, 0.808; GCF_025289055.1, s__Collinsella sp900549025, 95.0, 94.45, 0.799; GCA_905215755.1, s__Collinsella sp905215755, 95.0, 94.45, 0.798; GCA_902489965.1, s__Collinsella sp902489965, 95.0, 94.42, 0.792; GCA_900546725.1, s__Collinsella sp900546725, 95.0, 94.37, 0.768; GCA_900541055.1, s__Collinsella sp900541055, 95.0, 94.34, 0.828; GCA_900541125.1, s__Collinsella sp900541125, 95.0, 94.34, 0.825; GCA_018373675.1, s__Collinsella sp018373675, 95.0, 94.34, 0.813; GCA_900541135.1, s__Collinsella sp900541135, 95.0, 94.34, 0.808; GCA_902496335.1, s__Collinsella sp902496335, 95.0, 94.31, 0.792; GCA_000434535.1, s__Collinsella sp000434535, 95.0, 94.29, 0.74; GCA_019413955.1, s__Collinsella sp019413955, 95.0, 94.25, 0.747; GCF_019041915.1, s__Collinsella sp019041915, 95.0, 94.24, 0.821; GCA_900760905.1, s__Collinsella sp900760905, 95.0, 94.24, 0.817; GCA_902478965.1, s__Collinsella sp902478965, 95.0, 94.24, 0.801; GCA_902493985.1, s__Collinsella sp902493985, 95.0, 94.24, 0.784; GCA_902490095.1, s__Collinsella sp902490095, 95.0, 94.24, 0.769; GCA_900544205.1, s__Collinsella sp900544205, 95.0, 94.24, 0.729; GCA_902495525.1, s__Collinsella sp902495525, 95.0, 94.23, 0.796; GCA_905212545.1, s__Collinsella sp905212545, 95.0, 94.22, 0.808; GCA_900541005.1, s__Collinsella sp900541005, 95.0, 94.22, 0.785; GCA_902462065.1, s__Collinsella sp902462065, 95.0, 94.22, 0.779; GCA_900543605.1, s__Collinsella sp900543605, 95.0, 94.22, 0.771; GCF_018785245.1, s__Collinsella aerofaciens_AD, 95.0, 94.21, 0.818; GCA_902493515.1, s__Collinsella sp902493515, 95.0, 94.21, 0.818; GCA_959027945.1, s__Collinsella sp959027945, 95.0, 94.21, 0.818; GCF_015670745.1, s__Collinsella aerofaciens_T, 95.0, 94.21, 0.817; GCA_014871645.1, s__Collinsella sp014871645, 95.0, 94.21, 0.817; GCA_905216145.1, s__Collinsella sp905216145, 95.0, 94.21, 0.808; GCA_902469665.1, s__Collinsella sp902469665, 95.0, 94.21, 0.807; GCA_902475595.1, s__Collinsella sp902475595, 95.0, 94.17, 0.783; GCA_905204635.1, s__Collinsella sp905204635, 95.0, 94.12, 0.723; GCA_902491935.1, s__Collinsella sp902491935, 95.0, 94.11, 0.766; GCA_900761085.1, s__Collinsella sp900761085, 95.0, 94.11, 0.711; GCA_031292915.1, s__Collinsella sp031292915, 95.0, 94.09, 0.795; GCA_905213265.1, s__Collinsella sp905213265, 95.0, 94.09, 0.793; GCA_958427355.1, s__Collinsella sp958427355, 95.0, 94.09, 0.782; GCA_937989875.1, s__Collinsella sp937989875, 95.0, 94.08, 0.822; GCA_019414505.1, s__Collinsella sp019414505, 95.0, 94.08, 0.808; GCA_902494195.1, s__Collinsella sp902494195, 95.0, 94.08, 0.803; GCA_900541805.1, s__Collinsella sp900541805, 95.0, 94.08, 0.782; GCA_900548495.1, s__Collinsella sp900548495, 95.0, 93.99, 0.748; GCA_900766165.1, s__Collinsella sp900766165, 95.0, 93.99, 0.688; GCA_900548815.1, s__Collinsella sp900548815, 95.0, 93.98, 0.766; GCA_900549135.1, s__Collinsella sp900549135, 95.0, 93.98, 0.725; GCA_900552755.1, s__Collinsella sp900552755, 95.0, 93.98, 0.691; GCA_958413455.1, s__Collinsella sp958413455, 95.0, 93.97, 0.802; GCA_900544425.1, s__Collinsella sp900544425, 95.0, 93.97, 0.742; GCA_902495155.1, s__Collinsella sp902495155, 95.0, 93.97, 0.734; GCA_905215835.1, s__Collinsella sp905215835, 95.0, 93.97, 0.724; GCA_019414325.1, s__Collinsella sp019414325, 95.0, 93.96, 0.787; GCA_902363125.1, s__Collinsella sp902363125, 95.0, 93.96, 0.782; GCA_900541885.1, s__Collinsella sp900541885, 95.0, 93.95, 0.812; GCA_902464565.1, s__Collinsella sp902464565, 95.0, 93.95, 0.795; GCA_902492935.1, s__Collinsella sp902492935, 95.0, 93.95, 0.792; GCA_958413895.1, s__Collinsella sp958413895, 95.0, 93.95, 0.783; GCA_958432255.1, s__Collinsella sp958432255, 95.0, 93.95, 0.783; GCA_902497065.1, s__Collinsella sp902497065, 95.0, 93.95, 0.781; GCA_902491765.1, s__Collinsella sp902491765, 95.0, 93.95, 0.759; GCA_902490305.1, s__Collinsella sp902490305, 95.0, 93.95, 0.745; GCA_900752215.1, s__Collinsella sp900752215, 95.0, 93.95, 0.716; GCA_902478825.1, s__Collinsella sp902478825, 95.0, 93.94, 0.731; GCA_014871605.1, s__Collinsella sp014871605, 95.0, 93.92, 0.704; GCA_900545165.1, s__Collinsella sp900545165, 95.0, 93.88, 0.715; GCA_902470915.1, s__Collinsella sp902470915, 95.0, 93.87, 0.768; GCA_902493915.1, s__Collinsella sp902493915, 95.0, 93.84, 0.767; GCA_902493895.1, s__Collinsella sp902493895, 95.0, 93.82, 0.781; GCA_902495945.1, s__Collinsella sp902495945, 95.0, 93.82, 0.715; GCA_900541875.1, s__Collinsella sp900541875, 95.0, 93.81, 0.768; GCA_902492185.1, s__Collinsella sp902492185, 95.0, 93.81, 0.709; GCA_902489855.1, s__Collinsella sp902489855, 95.0, 93.77, 0.709; GCA_934876235.1, s__Collinsella sp934876235, 95.0, 93.76, 0.741; GCA_900754385.1, s__Collinsella sp900754385, 95.0, 93.69, 0.584; GCA_900549185.1, s__Collinsella sp900549185, 95.0, 93.68, 0.718; GCA_900540905.1, s__Collinsella sp900540905, 95.0, 93.66, 0.788; GCA_019425045.1, s__Collinsella sp019425045, 95.0, 93.66, 0.782; GCA_019414365.1, s__Collinsella sp019414365, 95.0, 93.41, 0.742; GCA_900554495.1, s__Collinsella sp900554495, 95.0, 93.4, 0.674; GCA_902478875.1, s__Collinsella sp902478875, 95.0, 93.38, 0.676; GCA_902465425.1, s__Collinsella sp902465425, 95.0, 93.31, 0.697; GCA_902495985.1, s__Collinsella sp902495985, 95.0, 93.24, 0.674; GCA_900752425.1, s__Collinsella sp900752425, 95.0, 93.23, 0.676; GCA_019414265.1, s__Collinsella sp019414265, 95.0, 93.05, 0.752; GCA_902465115.1, s__Collinsella sp902465115, 95.0, 93.05, 0.718; GCA_900754075.1, s__Collinsella sp900754075, 95.0, 93.05, 0.677; GCA_958424475.1, s__Collinsella sp958424475, 95.0, 92.68, 0.568; GCA_900551655.1, s__Collinsella sp900551655, 95.0, 91.72, 0.669	29.55	11.0	0.99758	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.27	k__Bacteria (UID2982)	88	229	147	96.33	0.0	0.0	2828527	0	42	42	152301	152301	67345	67345	505276	505276	55.3	1.98	87.62	11	2493	7	222	0	0	0	0	99.98	0.44	Neural Network (Specific Model)	11	0.876	152301	332.146409947854	2828527	0.55	2493	42	505276		0	0	0.0	2.0538132	0.9999989	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.55	0.919	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.55	0.919	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 94.56, 0.844; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 93.96, 0.84; GCF_023516715.1, s__Akkermansia massiliensis, 95.0, 87.65, 0.622; GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 87.38, 0.58; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 85.84, 0.527; GCF_018709685.1, s__Akkermansia muciniphila_E, 95.0, 85.26, 0.495; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 84.92, 0.48; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 82.28, 0.297; GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 82.17, 0.284; GCF_004167605.1, s__Akkermansia sp004167605, 95.0, 81.79, 0.289	89.95	11.0		
bin.3	o__Bacteroidales (UID2657)	160	492	269	51.47	3.09	15.79	2038103	0	201	201	11645	11645	10139	10139	41331	41331	42.1	1.84	86.16	11	2498	226	254	10	1	1	0	55.91	4.38	Gradient Boost (General Model)	11	0.861	11645	235.7429943955164	2038103	0.42	2498	201	41331		0	0	0.0	0.94053084	0.9999941	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis	GCF_000382445.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis	99.04	0.821	GCF_000382445.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis	99.04	0.821	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 94.12, 0.444; GCF_021730445.1, s__Phocaeicola faecalis, 95.0, 90.63, 0.649; GCA_948956705.1, s__Phocaeicola sp948956705, 95.0, 89.02, 0.244	48.3	11.0		
bin.44_sub	root (UID1)	5656	56	24	4.17	0.0	0.0	371430	0	10	10	62248	62248	37143	37143	75471	75471	43.7	1.29	85.66	11	399	55	1	0	0	0	0	8.46	0.07	Neural Network (Specific Model)	11	0.857	62248	267.2681704260652	371430	0.44	399	10	75471		0	0	0.0	2.390525	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (6.2%)
